"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2010","Total","Both Sexes","El Paso (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","649121","1,2"
"United States of America","2010","Total","Both Sexes","Elgin (IL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","108188","1,2"
"United States of America","2010","Total","Both Sexes","Elizabeth (NJ)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","124969","1,2"
"United States of America","2010","Total","Both Sexes","Elk Grove (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","153015","1,2"
"United States of America","2010","Total","Both Sexes","Enterprise (NV)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","108481","1,2,6"
"United States of America","2010","Total","Both Sexes","Erie (PA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","101786","1,2"
"United States of America","2010","Total","Both Sexes","Escondido (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","143911","1,2"
"United States of America","2010","Total","Both Sexes","Eugene (OR)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","156185","1,2"
"United States of America","2010","Total","Both Sexes","Evansville (IN)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","117429","1,2"
"United States of America","2010","Total","Both Sexes","Everett (WA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","103019","1,2"
"United States of America","2010","Total","Both Sexes","Fairfield (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","105321","1,2"
"United States of America","2010","Total","Both Sexes","Fargo (ND)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","105549","1,2"
"United States of America","2010","Total","Both Sexes","Fayetteville (NC)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","200564","1,2"
"United States of America","2010","Total","Both Sexes","Flint (MI)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","102434","1,2"
"United States of America","2010","Total","Both Sexes","Fontana (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","196069","1,2"
"United States of America","2010","Total","Both Sexes","Fort Collins (CO)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","143986","1,2"
"United States of America","2010","Total","Both Sexes","Fort Lauderdale (FL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","165521","1,2"
"United States of America","2010","Total","Both Sexes","Fort Wayne (IN)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","253691","1,2"
"United States of America","2010","Total","Both Sexes","Fort Worth (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","741206","1,2"
"United States of America","2010","Total","Both Sexes","Fremont (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","214089","1,2"
"United States of America","2010","Total","Both Sexes","Fresno (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","494665","1,2"
"United States of America","2010","Total","Both Sexes","Frisco (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","116989","1,2"
"United States of America","2010","Total","Both Sexes","Fullerton (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","135161","1,2"
"United States of America","2010","Total","Both Sexes","Gainesville (FL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","124354","1,2"
"United States of America","2010","Total","Both Sexes","Garden Grove (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","170883","1,2"
"United States of America","2010","Total","Both Sexes","Garland (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","226876","1,2"
"United States of America","2010","Total","Both Sexes","Gilbert (AZ)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","208453","1,2"
"United States of America","2010","Total","Both Sexes","Glendale (AZ)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","226721","1,2"
"United States of America","2010","Total","Both Sexes","Glendale (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","191719","1,2"
"United States of America","2010","Total","Both Sexes","Grand Prairie (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","175396","1,2"
"United States of America","2010","Total","Both Sexes","Grand Rapids (MI)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","188040","1,2"
"United States of America","2010","Total","Both Sexes","Green Bay (WI)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","104057","1,2"
"United States of America","2010","Total","Both Sexes","Greensboro (NC)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","269666","1,2"
"United States of America","2010","Total","Both Sexes","Greshan (OR)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","105594","1,2"
"United States of America","2010","Total","Both Sexes","Hampton (VA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","137436","1,2"
"United States of America","2010","Total","Both Sexes","Hartford (CT)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","124775","1,2"
"United States of America","2010","Total","Both Sexes","Hayward (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","144186","1,2"
"United States of America","2010","Total","Both Sexes","Henderson (NV)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","257729","1,2"
"United States of America","2010","Total","Both Sexes","Hialeah (FL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","224669","1,2"
"United States of America","2010","Total","Both Sexes","High Point City (NC)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","104371","1,2"
"United States of America","2010","Total","Both Sexes","Hollywood (FL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","140768","1,2"
"United States of America","2010","Total","Both Sexes","Honolulu (HI)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","337256","1,2"
"United States of America","2010","Total","Both Sexes","Houston (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","2099451","1,2"
"United States of America","2010","Total","Both Sexes","Huntington Beach (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","189992","1,2"
"United States of America","2010","Total","Both Sexes","Huntsville (AL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","180105","1,2"
"United States of America","2010","Total","Both Sexes","Independence (MO)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","116830","1,2"
"United States of America","2010","Total","Both Sexes","Indianapolis (IN)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","820445","1,2,7"
"United States of America","2010","Total","Both Sexes","Inglewood (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","109673","1,2"
"United States of America","2010","Total","Both Sexes","Irvine (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","212375","1,2"
"United States of America","2010","Total","Both Sexes","Irving (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","216290","1,2"
"United States of America","2010","Total","Both Sexes","Jackson (MS)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","173514","1,2"
"United States of America","2010","Total","Both Sexes","Jacksonville (FL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","821784","1,2"
"United States of America","2010","Total","Both Sexes","Jersey City (NJ)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","247597","1,2"
"United States of America","2010","Total","Both Sexes","Joliet (IL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","147433","1,2"
"United States of America","2010","Total","Both Sexes","Kansas City (KS)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","145786","1,2"
"United States of America","2010","Total","Both Sexes","Kansas City (MO)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","459787","1,2"
"United States of America","2010","Total","Both Sexes","Killeen (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","127921","1,2"
"United States of America","2010","Total","Both Sexes","Knoxville (TN)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","178874","1,2"
"United States of America","2010","Total","Both Sexes","Lafayette (LA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","120623","1,2"
"United States of America","2010","Total","Both Sexes","Lakewood (CO)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","142980","1,2"
"United States of America","2010","Total","Both Sexes","Lancaster (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","156633","1,2"
"United States of America","2010","Total","Both Sexes","Lansing (MI)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","114297","1,2"
"United States of America","2010","Total","Both Sexes","Laredo (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","236091","1,2"
"United States of America","2010","Total","Both Sexes","Las Vegas (NV)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","583756","1,2"
"United States of America","2010","Total","Both Sexes","Lexington-Fayette (KY)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","295803","1,2,8"
"United States of America","2010","Total","Both Sexes","Lincoln (NE)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","258379","1,2"
"United States of America","2010","Total","Both Sexes","Little Rock (AR)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","193524","1,2"
"United States of America","2010","Total","Both Sexes","Long Beach (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","462257","1,2"
"United States of America","2010","Total","Both Sexes","Los Angeles (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","3792621","1,2"
"United States of America","2010","Total","Both Sexes","Louisville (KY)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","597337","1,2,9"
"United States of America","2010","Total","Both Sexes","Lowell (MA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","106519","1,2"
"United States of America","2010","Total","Both Sexes","Lubbock (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","229573","1,2"
"United States of America","2010","Total","Both Sexes","Madison (WI)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","233209","1,2"
"United States of America","2010","Total","Both Sexes","Manchester (NH)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","109565","1,2"
"United States of America","2010","Total","Both Sexes","McAllen (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","129877","1,2"
"United States of America","2010","Total","Both Sexes","McKinney City (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","131117","1,2"
"United States of America","2010","Total","Both Sexes","Memphis (TN)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","646889","1,2"
"United States of America","2010","Total","Both Sexes","Mesa (AZ)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","439041","1,2"
"United States of America","2010","Total","Both Sexes","Mesquite (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","139824","1,2"
"United States of America","2010","Total","Both Sexes","Metairie (LA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","138481","1,2,6"
"United States of America","2010","Total","Both Sexes","Miami (FL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","399457","1,2"
"United States of America","2010","Total","Both Sexes","Miami Gardens (FL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","107167","1,2"
"United States of America","2010","Total","Both Sexes","Midland City (TX)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","111147","1,2"
"United States of America","2010","Total","Both Sexes","Milwaukee (WI)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","594833","1,2"
"United States of America","2010","Total","Both Sexes","Minneapolis (MN)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","382578","1,2"
"United States of America","2010","Total","Both Sexes","Miramar (FL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","122041","1,2"
"United States of America","2010","Total","Both Sexes","Mobile (AL)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","195111","1,2"
"United States of America","2010","Total","Both Sexes","Modesto (CA)","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","201165","1,2"
