time,city,state,shape,duration,summary,posted,lat,lon
10/25/2008 20:15,Windsor,CA,Light,60 sec,"Two white lights flying in formation, got bright, then dissapeared.",10/31/2008,42.3149367,-83.0363633
10/25/2008 19:30,Davis,CA,Other,several minutes,"Driving on I-80 in Davis ,Ca. when we saw bright sphere of light with a tail flying low and serpentine towards us!",01/10/2009,38.5449065,-121.7405167
10/25/2008 19:30,Davis,CA,Changing,5 minutes?,light  with tail doing serpentine manuever over I-80 in Davis,01/10/2009,38.5449065,-121.7405167
10/24/2008 20:30,Gaviota,CA,,Minute,Large flame flickered across sky,10/31/2008,34.4716558,-120.2148716
10/24/2008 20:10,San Diego,CA,Fireball,1 minute,A comet/firework like ball that separates and reconnects before apparently just disappearing into thin air.,10/31/2008,32.715738,-117.1610838
10/24/2008 19:53,Avila Beach,CA,Changing,10 minutes,Heading south on the 101 from San Luis Obispo as I neared the Avila Beach exit I noticed what I thought was a bright yellowish star in,10/31/2008,35.1800113,-120.7319127
10/24/2008 19:29,Pismo Beach,CA,Changing,about 4 minutes,"Orange ascending light on California Coast, stopping, moving, disappearing 10-24-08",10/31/2008,35.1427533,-120.6412827
10/24/2008 19:00,Solvang,CA,Fireball,2 minute,"Bright light flare in the Solvang, Santa Ynez sky Friday Night October 24 2008",10/31/2008,34.5958201,-120.1376481
10/24/2008 06:03,Sacramento,CA,Light,45 seconds,Light in sky slowly fades after being hit with violet laser,10/31/2008,38.5815719,-121.4943996
10/23/2008 21:40,Long Beach,CA,Fireball,10,Second fireball moves across sky.  Likely flare afloat.,01/10/2009,33.7700504,-118.1937395
10/23/2008 01:00,Jenner,CA,Circle,10 minutes,"Witnessed what I thought was a planet with a reflection, that ended up moving and then disappearing.",10/31/2008,38.4497134,-123.1151969
10/22/2008 22:30,Camarillo,CA,Other,5 Minutes,Noiseless object flies overhead at roughly 1000-1500 feet.,08/07/2011,34.2163937,-119.0376023
10/22/2008 17:45,Sacramento,CA,Light,30 sec,Two  stationary bright lights in southern sky  observed  30 secs then dimmed and disappeared,10/31/2008,38.5815719,-121.4943996
10/21/2008 21:45,Redondo Beach,CA,Formation,5 seconds,Three white crafts in formation- very fast- 12-20k feet - West > East Redondo Beach Approx. 9:45PM- no sound or lights,10/31/2008,33.8491816,-118.3884078
10/21/2008 20:00,Arbuckle,CA,Light,5 seconds,light like venus desapear in 5 seconds,01/10/2009,39.0173963,-122.0577477
10/21/2008 15:00,Lodi,CA,Disk,,Disc Like Object,10/31/2008,45.3097228,9.503716
10/20/2008 21:30,Hayward,CA,Sphere,<1 sec.,"I was being driven to work by my girlfriend, it was about 2130, about a week and a half ago. For some reason, I don't know why there ap",01/10/2009,37.6688205,-122.0807964
10/20/2008 19:15,Los Angeles,CA,Formation,1:00,3 flashing objects over LAX,10/31/2008,34.0522342,-118.2436849
10/20/2008 19:15,Encino,CA,Other,10 minutes,"2 Large Boomerang Shapes seen in night sky in Encino, CA.",10/31/2008,34.1517492,-118.5214282
10/19/2008 19:26,Victorville,CA,Changing,40,cluster of white lights that changed shapes,10/31/2008,34.5361067,-117.2911565
10/19/2008 14:00,Huntington Beach,CA,Changing,15,one circular father away. one several circles joned together that changed shapes.both white. clear sky. moved 10 degrees towards th,10/31/2008,33.660297,-117.9992265
10/18/2008 18:00,Pacifica to Belmont,CA,Light,10 minutes,I also witnessed 3 trianglular shape lights  above the Pacifica Town on the water 10/17 at the same time 6:00 pm,01/10/2009,37.5202145,-122.2758008
10/17/2008 21:30,Rancho Santa Margarita,CA,Light,1 hour,Moving bright lights moving in all directions in Southern California.,10/31/2008,33.640855,-117.603104
10/17/2008 21:12,Manteca,CA,Changing,2 minutes,"Yellow haze light with no sound flying low to ground then disappeared into the night in Manteca, Ca",10/31/2008,37.7974273,-121.2160526
10/17/2008 17:47,Santa Ana,CA,Disk,15minutes,"2 UFOs sighted flying together over Santa Ana, California and photographed.",10/31/2008,33.7455731,-117.8678338
10/17/2008 10:35,Playa del Rey,CA,Sphere,"15 min,",Two white spherical objects rotating about each other at low altitude rise until out of sight.,10/31/2008,33.9564194,-118.4422317
